Video,Ground Truth,Prediction,CER
dogwood1214_3582,DGMPLATFO,DGMKPLTFOM,0.3333
austin_andrews_0710,OR,OUR,0.5000
alexandria_wailes_1872,DITALL,DITANL,0.1667
austin_andrews_0728,ALL,AL,0.3333
carol_padden_1907,ASL,L,0.6667
alexandria_wailes_1843,SO,SO,0.0000
alex_abenchuchan_3268,NEWS,NEWS,0.0000
dogwood1214_3578,DGM,DG,0.3333
deafmermaid_5052,WELL,D,1.0000
carol_padden_1954,SO,S,0.5000
alex_abenchuchan_4021,UN,URN,0.5000
carol_padden_1998,HANDS,HA,0.6000
carol_padden_2177,ABSL,ABSL,0.0000
austin_andrews_0775,ASL,ASL,0.0000
deafaynrand_6558,IMOCA,IOMOEOHA,0.8000
alexandria_wailes_1828,MENINGITI,ENGTS,0.5556
chickadee_3494,SO,O,0.5000
carol_padden_1965,OF,F,0.5000
deafmermaid_7357,SUSAN,SURSAN,0.2000
aidan_mack_3203,SO,O,0.5000
deafmermaid_7334,LA,LA,0.0000
austin_andrews_0718,ASL,ASL,0.0000
deafmermaid_7333,SUSAN,SURNAN,0.4000
dsport06_1494,RALPHLAUR,URALHLAURDNKPLSKPOLO,1.4444
alexandria_wailes_1842,ALL,OAG,1.0000
dogwood1214_3570,DAWNELAIN,DAWNEDLAINE,0.2222
austin_andrews_0729,ASL,ASL,0.0000
alexandria_wailes_1827,NERKDEL,NOURKPDEURL,0.7143
carol_padden_2147,MANER,MANEURKPUR,1.0000
dsport06_1608,TOMHARKIN,OUR,0.7778
carol_padden_1963,PRO,URO,0.3333
deafmermaid_7356,MORKIE,MAMOURKPIE,0.6667
aidan_mack_3202,ATRY,ATH,0.5000
carol_padden_1990,TOOLS,OL,0.6000
deafmermaid_7358,SUSAN,SAN,0.4000
carol_padden_1999,IF,F,0.5000
deafaynrand_6559,MEDICAID,MEDCAID,0.1250
alexandria_wailes_1829,MSSD,MSD,0.2500
deafmermaid_5098,FLANL,FLANL,0.0000
austin_andrews_0787,LINK,LYINKP,0.5000
carol_padden_2185,HANDLING,HANDLING,0.0000
deafmermaid_7360,OK,N,1.0000
alex_abenchuchan_3383,CO,CO,0.0000
carol_padden_2003,CONTAINER,CNTYUR,0.5556
alex_abenchuchan_3946,DID,ID,0.3333
carol_padden_2231,LEXICALIT,LEICI,0.4444
carol_padden_2209,OF,OF,0.0000
alex_abenchuchan_3384,HOST,HNS,0.5000
aidan_mack_3173,TO,TO,0.0000
alex_abenchuchan_3941,CONFEDERA,CONFEDE,0.2222
chickadee_3525,FRID,FURFD,0.5000
alex_abenchuchan_3948,CODE,CODE,0.0000
deafwomynpride_5313,RLIST,URITN,0.8000
alex_abenchuchan_3977,RE,URE,0.5000
alex_abenchuchan_3379,SHAKESKEA,SHAKPESKPAE,0.3333
austin_andrews_0630,ASL,ASLD,0.3333
brooklyn_5032,BABA,BAKP,0.5000
alex_abenchuchan_4164,FLOATING,FLTAIG,0.3750
alex_abenchuchan_3341,DIU,DIUR,0.3333
alexandria_wailes_1901,DIT,DIT,0.0000
austin_andrews_0690,VHS,VHS,0.0000
carol_padden_2092,PATERN,KPATEURA,0.5000
alex_abenchuchan_3312,OILPIPELI,OILKP,0.5556
carol_padden_2050,AK,KP,1.0000
alex_abenchuchan_4101,FORD,FONURD,0.5000
deafcutecartoon_6373,OK,OKP,0.5000
carol_padden_2265,LEVEL,LEVNL,0.2000
carol_padden_2206,ABSL,ABASLG,0.5000
carol_padden_2034,SO,O,0.5000
deafwomynpride_5312,TAYLOR,TA,0.6667
alex_abenchuchan_3976,GOFRND,OFURND,0.3333
austin_andrews_0638,ASL,ASL,0.0000
carol_padden_2208,OK,O,0.5000
carol_padden_2237,HANDING,G,0.8571
alex_abenchuchan_3376,FHOSTS,FHOSTS,0.0000
alex_abenchuchan_3947,CONFEDATE,CONFEDTE,0.1111
chickadee_3523,SESAMESEE,SESAESED,0.2222
deafcutecartoon_6372,AWARDNESS,AWAURDNES,0.2222
carol_padden_2056,PATERN,KPATEURN,0.3333
austin_andrews_0654,IF,IF,0.0000
alex_abenchuchan_4107,HILLARY,HILY,0.4286
carol_padden_2069,ABSL,ABAL,0.2500
dsport06_1514,OK,O,0.5000
dsport06_1513,SUN,URN,0.6667
alex_abenchuchan_3922,DM,DO,0.5000
carol_padden_2255,PATERN,KPATURN,0.3333
carol_padden_2067,ABSL,ABSL,0.0000
alex_abenchuchan_3313,SKY,SKPY,0.3333
carol_padden_2094,HANDIL,HAN,0.5000
alex_abenchuchan_3938,YOUTE,IURTE,0.6000
brooklyn_7376,TRADEMARK,TWURADECMURKP,0.5556
deafwomynpride_1192,MELISSA,MELSA,0.2857
austin_andrews_0647,NERDA,NEURDA,0.2000
alex_abenchuchan_4122,INCH,INCH,0.0000
deafmermaid_6343,DVTV,DVNV,0.2500
carol_padden_2246,LEXICAL,LEXCSL,0.2857
aidan_mack_3168,THEAIDANM,THENIDANACKP,0.5556
alex_abenchuchan_4171,SCALDINGD,SCALDINGDURE,0.3333
brooklyn_7314,TMP,AG,1.0000
christine_sun_kim_5920,ASL,ASL,0.0000
alex_abenchuchan_3962,TOM,TOM,0.0000
deafmermaid_5105,PIN,KPIN,0.3333
alex_abenchuchan_4140,DRONE,DURNE,0.4000
deafmermaid_6910,CHICKFLIA,CHICKPFLIA,0.1111
carol_padden_2224,VERBS,NURB,0.6000
alex_abenchuchan_3953,ILY,ILY,0.0000
archie_6987,SO,SN,0.5000
alex_abenchuchan_3396,HUNTER,HURNTEUR,0.3333
austin_andrews_0822,CODA,CDA,0.2500
austin_andrews_0648,EVEN,EURN,0.5000
austin_andrews_0677,ASL,ASL,0.0000
dsport06_1508,LONDON,LND,0.5000
carol_padden_2247,PATERN,KPATEURN,0.3333
austin_andrews_0683,ASL,AS,0.3333
