Video,Ground Truth,Prediction,CER
dsport06_1494,RALPHLAUR,RALHLAUDNPLSKOLO,1.1111
deafmermaid_5052,WELL,D,1.0000
alexandria_wailes_1842,ALL,OAG,1.0000
deafmermaid_7360,OK,N,1.0000
brooklyn_7314,TMP,AG,1.0000
deafmermaid_5085,IF,,1.0000
chickadee_3257,OK,OHW,1.0000
carol_padden_2090,HANDLING,T,1.0000
carol_padden_2198,ALLINSTME,AGINTENRTG,0.8889
carol_padden_2237,HANDING,G,0.8571
dsport06_1612,TAILORS,I,0.8571
deafaynrand_6558,IMOCA,IOMOEOHA,0.8000
dsport06_1608,TOMHARKIN,OR,0.7778
deafaynrand_6553,HELP,P,0.7500
carol_padden_1933,MIER,M,0.7500
carol_padden_1957,NARRATI,NR,0.7143
carol_padden_2205,HAIRBSH,HAE,0.7143
carol_padden_1907,ASL,L,0.6667
deafwomynpride_5312,TAYLOR,TA,0.6667
carol_padden_2106,BUT,BCA,0.6667
deafmermaid_5050,FREKKYUNF,FKYRNFIT,0.6667
deafwomynpride_0855,ALL,AG,0.6667
brooklyn_7395,WES,VRES,0.6667
brooklyn_7389,SCADAL,SBCTATDATL,0.6667
alexandria_wailes_1863,SET,STA,0.6667
brooklyn_7381,DODODODO,DTDND,0.6250
carol_padden_1998,HANDS,HA,0.6000
carol_padden_1990,TOOLS,OL,0.6000
deafwomynpride_5313,RLIST,RITN,0.6000
carol_padden_2224,VERBS,NRB,0.6000
chickadee_3521,SLICE,IC,0.6000
christine_sun_kim_5906,LINES,LYINECES,0.6000
carol_padden_2245,ARTIC,TC,0.6000
deafmermaid_7370,SUSAN,SAS,0.6000
alexandria_wailes_1828,MENINGITI,ENGTS,0.5556
carol_padden_2003,CONTAINER,CNTYR,0.5556
alex_abenchuchan_3312,OILPIPELI,OILP,0.5556
carol_padden_1951,IDEOPHONE,IOHNET,0.5556
dsport06_1490,RALPHLAUR,ALAR,0.5556
deafmermaid_3695,TODOLYOOD,ODLYK,0.5556
carol_padden_2218,INSMENTPA,INMTD,0.5556
carol_padden_1954,SO,S,0.5000
chickadee_3494,SO,O,0.5000
carol_padden_1965,OF,F,0.5000
aidan_mack_3203,SO,O,0.5000
aidan_mack_3202,ATRY,ATH,0.5000
carol_padden_1999,IF,F,0.5000
alex_abenchuchan_3384,HOST,HNS,0.5000
brooklyn_5032,BABA,BAK,0.5000
carol_padden_2050,AK,K,0.5000
carol_padden_2206,ABSL,ABASLG,0.5000
carol_padden_2034,SO,O,0.5000
carol_padden_2208,OK,O,0.5000
dsport06_1514,OK,O,0.5000
alex_abenchuchan_3922,DM,DO,0.5000
carol_padden_2094,HANDIL,HAN,0.5000
archie_6987,SO,SN,0.5000
austin_andrews_0648,EVEN,ERN,0.5000
dsport06_1508,LONDON,LND,0.5000
carol_padden_2086,ABSL,ABLG,0.5000
aidan_mack_3194,IT,I,0.5000
chickadee_3486,SO,O,0.5000
alex_abenchuchan_4067,BRAH,CBRH,0.5000
austin_andrews_0757,WW,W,0.5000
deafmermaid_5289,TATTOO,TAT,0.5000
chickadee_3249,ACAR,NAR,0.5000
carol_padden_2137,NP,HP,0.5000
carol_padden_2145,VERB,VB,0.5000
alexandria_wailes_1882,OR,R,0.5000
alexandria_wailes_1878,BE,BC,0.5000
deafwomynpride_1209,SLYFOX,LIFX,0.5000
deafmermaid_7355,YORKIE,IOKE,0.5000
alexandria_wailes_1846,ASAN,AN,0.5000
austin_andrews_0712,OR,R,0.5000
alexandria_wailes_1877,IF,F,0.5000
carol_padden_2065,IU,I,0.5000
deafmermaid_6355,IF,F,0.5000
brooklyn_7394,IT,IK,0.5000
carol_padden_2064,IF,F,0.5000
deafmermaid_5302,TAYLER,TAL,0.5000
carol_padden_2084,HANDLING,HNDLB,0.5000
deafwomynpride_1190,MHOT,MHM,0.5000
brooklyn_5040,TX,TG,0.5000
alexandria_wailes_1855,OR,R,0.5000
deafwomynpride_1223,LV,L,0.5000
alexandria_wailes_1864,IF,F,0.5000
brooklyn_7297,LINK,LICT,0.5000
carol_padden_1945,OF,F,0.5000
carol_padden_2195,HANDLING,HNDI,0.5000
carol_padden_1910,SO,O,0.5000
carol_padden_1975,SO,O,0.5000
carol_padden_2231,LEXICALIT,LEICI,0.4444
aidan_mack_3168,THEAIDANM,THENIDANACK,0.4444
alex_abenchuchan_3339,MIAMIMARL,MIAOMIMARLINS,0.4444
carol_padden_1905,WENDYSAND,WENDLYIALE,0.4444
alex_abenchuchan_4107,HILLARY,HILY,0.4286
carol_padden_1941,QUALITY,UALT,0.4286
chickadee_3498,SPECIAL,SPCBIL,0.4286
deafmermaid_5089,SHEARER,HEAR,0.4286
carol_padden_2147,MANER,MANERKR,0.4000
deafmermaid_7358,SUSAN,SAN,0.4000
alex_abenchuchan_3938,YOUTE,IUTE,0.4000
carol_padden_2010,SLIDE,LIE,0.4000
alex_abenchuchan_3352,MIAMI,MIA,0.4000
chickadee_3497,GUSOR,GUSTSOR,0.4000
carol_padden_1918,MEIER,EIFR,0.4000
austin_andrews_0754,VRSOR,VRS,0.4000
alex_abenchuchan_4164,FLOATING,FLTAIG,0.3750
christine_sun_kim_5921,TOLOOKAT,TOKAT,0.3750
carol_padden_2189,INSTMENT,INSTRT,0.3750
austin_andrews_0728,ALL,AL,0.3333
dogwood1214_3578,DGM,DG,0.3333
carol_padden_1963,PRO,RO,0.3333
